company_legalname,company_name,companypublickey,company_addressline1,company_city,company_state,company_zipcode,company_phone,company_webpage,agent_count,company_moxi_hub,company_moxi_dms,company_moxi_engage,company_moxi_present,company_moxi_websites,company_moxi_talent,company_moxi_insights,show_in_product_marketing,advertise_your_listing,ayl_emails,advertise_your_services,ays_emails,direct_marketing,reason
Monterrey Coast Realty,Monterrey Coast Realty,3233893, ,Carmel,CA,,,,1,False,False,False,True,False,False,False,False,False,False,False,False,False,Agent count is less then 5
Smoakhouse Properties,Smoakhouse Properties,3238627,3419 Maybank Hwy ,Johns Island,SC,29455,843-355-9020,jimsmoak.com,2,True,False,True,True,True,False,False,False,False,False,False,False,False,"Companypublickey contains 3238627, Agent count is less then 5"
Sotheby's International Realty,Sotheby's International Realty,3242572,149 Fifth Avenue 4th Floor,New York City,NY,10010,,https://www.sothebyshomes.com,1,False,False,False,True,False,False,False,False,False,False,False,False,False,Agent count is less then 5
RE/Max Select,RE/MAX SELECT,3241783,137 Elmer St ,Westfield,NJ,07090,908-823-3929,https://www.wesellnewjersey.com/,384,False,False,False,True,False,False,False,True,True,False,True,False,True,Duplicate company of: 3241783
"At World Properties, LLC",@Properties,3229948,212 East Ohio ,Chicago,IL,60611,312-225-4020,https://atproperties.com,15,False,False,True,True,False,True,False,True,True,False,True,False,False,Duplicate company of: 3229948
Ascent Real Estate,Ascent Real Estate,3237049, ,,,,619-932-5410,,210,True,False,True,True,True,False,False,True,True,False,True,False,False,Duplicate company of: 3237049
The Agency,The Agency,3244150,331 Foothill Road Suite 100,Beverly Hills,CA,90210,424-423-0370,www.theagencyre.com,43,False,False,False,True,False,False,False,False,False,False,False,False,False,Duplicate company of: 3244150
Ebby Halliday,Ebby Halliday,3270976,4455 Sigma Rd ,Dallas,TX,75244,,www.ebby.com,14,False,False,True,True,False,False,True,True,True,False,True,False,False,Duplicate company of: 3270976
Bay Street Group,Bay Street Group,3271765,8300 Woodbine Ave Suite 500,Markham,,,905-590-9010,baystreetgroup.ca,1,True,False,True,True,True,False,False,True,False,False,False,False,True,Agent count is less then 5
"Miranda Real Estate Group, Inc","Miranda Real Estate Group, Inc",3237838, ,,,,518-834-8206,,87,True,False,True,True,True,False,False,True,True,False,True,False,False,Duplicate company of: 3237838
C21 Scheetz Realty,Century 21 Scheetz,3230737, ,,,,,,391,True,False,True,True,True,False,True,True,True,True,True,True,True,Duplicate company of: 3230737
W Real  Estate,W Real Estate,3239416,500 Bicentennial Way Suite 310,Santa Rosa,CA,95403,707-759-1057,wrealestate.net,142,True,False,True,True,True,False,False,True,True,True,True,True,True,Duplicate company of: 3239416
"David Lyng & Associates, Inc.",David Lyng Real Estate,3231526,1041 41st Avenue ,Santa Cruz,CA,95062,831-142-9570,http://www.davidlyng.com,214,True,False,True,True,True,False,True,True,True,False,True,False,False,Duplicate company of: 3231526
Dudum Real Estate,Dudum Real Estate,3226792,1910 Olympic Blvd ,Walnut Creek,CA,94596,925-593-7400,www.dudum.com,203,True,False,True,True,True,False,False,True,True,True,True,False,False,Duplicate company of: 3226792
Intero SoCal,Intero SoCal,3235471, ,,,,866-633-4735,http://www.interosocal.com/,87,False,False,True,True,True,False,False,True,True,False,True,False,False,Duplicate company of: 3235471
Smith & Associates,Smith & Associates,3232315,3801 Bay to Bay Boulevard ,Tampa,FL,33629,813-324-5013,www.smithandassociates.com,348,True,False,True,True,True,False,False,True,True,False,True,False,False,Duplicate company of: 3232315
"HomeServices of Illinois, LLC",BHHS KoenigRubloff Realty Group,3233104,980 N Michigan Avenue Ste 700,Chicago,IL,60611,312-294-4890,http://www.koenigrubloff.com,1425,True,False,True,True,True,True,False,True,True,False,True,False,False,Duplicate company of: 3233104
Windermere Solutions LLC,Windermere,1234567,815 Western Ave ,Seattle,WA,98104,,,494955,True,True,True,True,True,True,False,True,True,True,True,False,False,Duplicate company of: 1234567
"Long & Foster Real Estate, Inc.","Long & Foster Real Estate, Inc.",1259026, ,Chantilly,VA,20151,,,9956,True,False,True,True,False,True,False,True,True,True,True,False,False,Duplicate company of: 1259026
Carrington Real Estate,Carrington Real Estate,3207067, ,,,,,http://www.carringtonrealestate.com/,1404,True,False,True,True,True,False,False,True,True,True,True,False,False,Duplicate company of: 3207067
john greene Realtor,john greene Realtor,3214168,1311 S. Route 59 ,Naperville,IL,60564,,,168,True,False,True,True,True,False,False,True,True,False,True,False,False,Duplicate company of: 3214168
Michael Saunders & Company,Michael Saunders & Company,3212590, ,,,,,,841,True,False,True,True,False,False,True,True,True,False,True,False,False,Duplicate company of: 3212590
Compass,Compass,2993248, ,Beverly Hills,CA,,,,1001,False,False,True,True,True,False,False,True,True,False,True,False,False,Duplicate company of: 2993248
