company_legalname,company_name,companypublickey,company_addressline1,company_city,company_state,company_zipcode,company_phone,company_webpage,agent_count,company_moxi_hub,company_moxi_dms,company_moxi_engage,company_moxi_present,company_moxi_websites,company_moxi_talent,company_moxi_insights,show_in_product_marketing,advertise_your_listing,ayl_emails,advertise_your_services,ays_emails,direct_marketing
Berkshire Hathaway HomeServices,Berkshire Hathaway HomeServices,2467774,,Irvine,CA,,,,3,False,False,False,True,False,False,False,False,False,False,False,False,False
Partners Trust,Partners Trust,3200755,9378 Wilshire Blvd. Ste 200,Beverly Hills,CA,90212,310-050-0390,,1,False,False,False,True,False,False,False,False,False,False,False,False,False
Realty Masters & Associates,Realty Masters & Associates,3079249,,Newport Beach,CA,,,,1,False,False,False,True,False,False,False,False,False,False,False,False,False
RE/MAX Town and Country,RE/MAX Town and Country,2289460,,Allen,TX,,,,1,False,False,False,True,False,False,False,False,False,False,False,False,False
EXP Realty of California,EXP Realty of California,3193654,2603 Camino Ramon Suite 200,San Ramon,CA,94583,,,1,False,False,False,True,False,False,False,False,False,False,False,False,False
Empire Realty Associates,Empire Realty Associates,1576204,,Danville,CA,,,,4,False,False,False,True,False,False,False,True,False,False,False,False,False
PMZ Real Estate,PMZ Real Estate,2530105,3516 Deer Park Drive Suite A,Stockton,CA,95219,209-947-2201,http://www.pmz.com,2,False,False,False,True,False,False,False,False,False,False,False,False,False
CENTURY 21 Award,CENTURY 21 Award,1733215,,Racho Santa Margarita,CA,,,,4,False,False,False,True,False,False,False,True,False,False,False,False,False
Guarantee Real Estate,Guarantee Real Estate,2420434,,Fresno,CA,,,,2,False,False,False,True,False,False,False,False,False,False,False,False,False
Surterre Properties,Surterre Properties,2370727,,Newport Beach,CA,,,,2,False,False,False,True,False,False,False,False,False,False,False,False,False
Keller Williams,Keller Williams,1244824,,Austin,TX,73301,,,4,False,False,False,True,False,False,False,False,False,False,False,False,False
RE/MAX Northern Illinois,RE/MAX Northern Illinois,2846494,,Chicago,IL,,,,2,False,False,False,True,False,False,False,False,False,False,False,False,False
HomeSmart Realty West,HomeSmart Realty West,3114754,,Carlsbad,CA,,,,1,False,False,False,True,False,False,False,False,False,False,False,False,False
Beverly-Hanks & Associates,Beverly-Hanks & Associates,2915926,,Ashville,NC,,,,2,False,False,False,True,False,False,False,False,False,False,False,False,False
Better Homes and Gardens David Winans & Associates,Better Homes and Gardens David Winans & Associates,2782585,17734 Preston Road Ste 100,Dallas,TX,75252,972-277-4988,https://betterdfw.com/,1,False,False,False,True,False,False,False,False,False,False,False,False,False
JP and Associates Realtors,JP and Associates REALTORS,3208645,,Austin,TX,,,,1,False,False,False,True,False,False,False,False,False,False,False,False,False
Berkshire Hathaway HomeServices Warren Residential,Berkshire Hathaway HomeServices Warren Residential,3100552,,Boston,MA,,,,34,False,False,True,True,True,True,False,True,True,True,True,False,False
