companypublickey,middleware_data,sfdc_data
3190498,"{'company_name': ""Four Seasons Sotheby's International"", 'company_phone': '802-286-4054'}","{'company_name': ""Four Seasons Sotheby's International Realty"", 'company_phone': '(802) 864-0541'}"
2846494,"{'company_addressline1': '', 'company_city': 'Chicago', 'company_zipcode': '', 'company_phone': '', 'company_webpage': ''}","{'company_addressline1': '2205 Point Boulevard, Suite 100', 'company_city': 'Elgin', 'company_zipcode': '60123', 'company_phone': '(847) 428-4200', 'company_webpage': 'http://www.illinoisproperty.com/'}"
3244150,"{'company_addressline1': '331 Foothill Road Suite 100', 'company_phone': '424-423-0370', 'company_webpage': 'www.theagencyre.com', 'show_in_product_marketing': True, 'advertise_your_listing': True, 'ayl_emails': True, 'advertise_your_services': True, 'ays_emails': True, 'direct_marketing': True}","{'company_addressline1': '331 N. Foothill Rd., Suite 100', 'company_phone': '(424) 230-3700', 'company_webpage': '', 'show_in_product_marketing': 'false', 'advertise_your_listing': 'false', 'ayl_emails': 'false', 'advertise_your_services': 'false', 'ays_emails': 'false', 'direct_marketing': 'false'}"
2474086,"{'company_addressline1': '1250 Coast Village Road', 'company_city': 'Montecito', 'company_zipcode': '93108', 'company_phone': '805-596-9890', 'company_webpage': 'https://www.villagesite.com'}","{'company_addressline1': '4050 Calle Real, Suite 120', 'company_city': 'Santa Barbara', 'company_zipcode': '93110-4028', 'company_phone': '(805) 565-8607', 'company_webpage': 'https://www.villagesite.com/'}"
3091873,"{'company_addressline1': '', 'company_city': 'Lake Tahoe', 'company_zipcode': '', 'company_phone': '', 'company_webpage': ''}","{'company_addressline1': '190 Highway 50 \nPost Office Box 10470', 'company_city': 'Zephyr Cove', 'company_zipcode': '89448', 'company_phone': '(775) 850-5900', 'company_webpage': 'http://www.chaseinternational.com/'}"
1259026,"{'company_name': 'Long & Foster Real Estate, Inc.', 'company_addressline1': '', 'company_phone': ''}","{'company_name': 'Long & Foster Companies', 'company_addressline1': '14501 George Carter Way', 'company_phone': '(800) 237-8800'}"
1412092,"{'company_name': 'Compass', 'company_addressline1': '', 'company_zipcode': '94129', 'company_phone': '', 'company_webpage': ''}","{'company_name': 'Pacific Union International', 'company_addressline1': '1699 Van Ness Avenue', 'company_zipcode': '94109', 'company_phone': '(844) 773-7434', 'company_webpage': 'http://www.pacificunion.com/'}"
3235471,"{'company_name': 'Intero SoCal', 'company_addressline1': '', 'company_city': '', 'company_state': '', 'company_zipcode': '', 'company_phone': '866-633-4735', 'company_webpage': 'http://www.interosocal.com/'}","{'company_name': 'Intero Real Estate - So Cal', 'company_addressline1': '10641 Church Street', 'company_city': 'Rancho Cucamonga', 'company_state': 'CA', 'company_zipcode': '91730', 'company_phone': '(909) 477-7690', 'company_webpage': ''}"
2915926,"{'company_addressline1': '', 'company_city': 'Ashville', 'company_zipcode': '', 'company_phone': '', 'company_webpage': ''}","{'company_addressline1': 'One Town Square Blvd', 'company_city': 'Asheville', 'company_zipcode': '28803', 'company_phone': '(828) 575-4074', 'company_webpage': 'beverly-hanks.com'}"
2858329,"{'company_addressline1': '', 'company_zipcode': '', 'company_phone': '', 'company_webpage': ''}","{'company_addressline1': '14855 Blanco Road Suite 403', 'company_zipcode': '78216', 'company_phone': '(210) 824-7878', 'company_webpage': 'http://www.phyllisbrowning.com'}"
