company_legalname,company_name,companypublickey,company_addressline1,company_city,company_state,company_zipcode,company_phone,company_webpage,agent_count,company_moxi_hub,company_moxi_dms,company_moxi_engage,company_moxi_present,company_moxi_websites,company_moxi_talent,company_moxi_insights,show_in_product_marketing,advertise_your_listing,ayl_emails,advertise_your_services,ays_emails,direct_marketing
"Long & Foster Real Estate, Inc.","Long & Foster Real Estate, Inc.",1259026, ,Chantilly,VA,20151,,,9957,True,False,True,True,False,True,False,True,True,True,True,False,False
"HomeCity, Inc.","HomeCity, Inc.",2341534, ,Austin,TX,,,,166,False,False,False,True,False,False,False,True,True,False,True,False,False
Lyon Real Estate,Lyon Real Estate,1490992, ,Sacramento,CA,,,,916,False,False,False,True,False,False,False,True,False,False,False,False,False
"HomeServices of Illinois, LLC",BHHS KoenigRubloff Realty Group,3233104,980 N Michigan Avenue Ste 700,Chicago,IL,60611,312-294-4890,http://www.koenigrubloff.com,1423,True,False,True,True,True,True,False,True,True,False,True,False,False
W Real  Estate,W Real Estate,3239416,500 Bicentennial Way Suite 310,Santa Rosa,CA,95403,707-759-1057,wrealestate.net,145,True,False,True,True,True,False,False,True,True,True,True,True,True
Ascent Real Estate,Ascent Real Estate,3237049, ,,,,619-932-5410,,211,True,False,True,True,True,False,False,True,True,False,True,False,False
Crye-Leike Real Estate Services,Crye-Leike,3140002, ,Brentwood,TN,,,,3224,False,False,True,True,False,False,False,False,False,False,False,False,False
Howard Hanna,Howard Hanna,1585672, ,Pittsburgh,PA,,,,9505,True,False,True,True,False,True,True,True,True,False,True,False,False
Cressy & Everett Real Estate,Cressy & Everett Real Estate,1401835, ,South Bend,IN,46615,,,179,False,False,False,True,False,False,False,True,True,False,True,False,False
Daniel Gale Sotheby's International Real,Daniel Gale Sotheby's International Real,2686327, ,Cold Spring Harbor,NY,,,,192,True,False,False,True,False,False,False,True,False,False,False,False,False
Compass,Compass,1431028, ,San Francisco,CA,94109,,,196,False,False,False,True,False,False,False,True,False,False,False,False,False
Smith & Associates,Smith & Associates,3232315,3801 Bay to Bay Boulevard ,Tampa,FL,33629,813-324-5013,www.smithandassociates.com,350,True,False,True,True,True,False,False,True,True,False,True,False,False
Fonville Morisey Realty a Long & Foster ,Fonville Morisey Realty,3057157, ,Raleigh,NC,,,,745,False,False,True,True,True,True,False,True,True,True,True,False,False
Keller Williams Realty Danville and Waln,Keller Williams Realty,3189709,760 Camino Ramon #200 ,Danville,CA,94526,925-585-5833,http://www.kwdanville.com,702,False,False,False,True,False,False,False,True,False,False,False,False,False
Ebby Halliday,Ebby Halliday,3270976,4455 Sigma Rd ,Dallas,TX,75244,,www.ebby.com,15,False,False,True,True,False,False,False,True,True,False,True,False,False
Deasy Penner Podley,Deasy Penner Podley,1416826, ,Pasadena,CA,91101,,,417,True,False,True,True,True,False,False,True,True,True,True,False,False
Windermere Solutions LLC,Windermere,1234567,815 Western Ave ,Seattle,WA,98104,,,494972,True,True,True,True,True,True,False,True,True,True,True,False,False
Realty ONE Group,Realty ONE Group,1732426, ,Irvine,CA,,,,11642,False,False,True,True,True,True,False,True,True,True,True,False,False
RE/MAX Metro,RE/MAX Metro,3206278, ,,,,727-789-6180,https://www.metroagents.com/,220,True,False,True,True,True,True,False,True,True,True,True,False,False
Carrington Real Estate,Carrington Real Estate,3207067, ,,,,,http://www.carringtonrealestate.com/,1405,True,False,True,True,True,False,False,True,True,True,True,False,False
JB Goodwin Realtors,JB Goodwin Realtors,3203122,3933 Steck Avenue Suite B-101,Austin,TX,78759,512-250-2780,https://www.jbgoodwin.com/,749,True,False,True,True,True,True,False,True,True,True,True,False,False
BHHS Verani Realty,BHHS Verani,3184975, ,Amherst,NH,,,,658,False,False,False,True,False,False,False,False,False,False,False,False,False
Coldwell Banker Residential Brokerage NR,Coldwell Banker Residential Brokerage NR,3145525, ,,,,,,49529,False,False,False,True,False,False,False,True,False,False,False,False,False
Weidel Real Estate,Weidel Real Estate,2918293, ,Pennington,NJ,,,,646,True,False,True,True,True,True,False,True,True,False,True,False,False
J. Rockcliff Realtors,J. Rockcliff Realtors,1527286, ,Danville,CA,,,,373,False,False,False,True,False,False,False,True,False,False,False,False,False
Michael Saunders & Company,Michael Saunders & Company,3212590, ,,,,,,842,True,False,True,True,False,False,True,True,True,False,True,False,False
