office_legalname,office_name,officepublickey,office_addressline1,office_city,office_state,office_zip,office_phone,region_name,office_website,companypublickey,company_legalname,reason
Admin,Admin,15662748, ,South Portland,ME,,,Admin,,2842549,Bean Group,Parent company's companypublickey did not match with company table entries
Sunil Sethi Real Estate,Sunil Sethi Real Estate,15348882, ,Fremont,CA,,,Sunil Sethi Real Estate,,3228370,Sunil Sethi Real Estate,Parent company's companypublickey did not match with company table entries
Moxi Works - Western Ave,Mw - Western Ave,12611931, ,Seattle,WA,,,Moxi Works Test,,3016129,MoxiWorks Tst ACCT,Parent company's companypublickey did not match with company table entries
Teles Properties,Teles Properties,12989952,1615 Murray Canyon Road Suite 110,San Diego,CA,92108,,Teles Properties,,3113176,Teles Properties - RPG & Co,Parent company's companypublickey did not match with company table entries
Select Homes Real Estate,Select Homes Real Estate,12988965,10531 4S Commons Drive Suite 539,San Diego,CA,92127,,Select Homes Real Estate,,3112387,Select Homes Real Estate,Parent company's companypublickey did not match with company table entries
,The Goodlife Team,10846188, ,,,,512-289-2947,GoodLife Realty,,1242457,GoodLife Realty,Parent company's companypublickey did not match with company table entries
Test Org 2 Region 2 Office,TO2R2 Office,12508296, ,Seattle,WA,98104,,Test Org2 Reg2,,1509928,TEST Company,Parent company's companypublickey did not match with company table entries
McMillin Realty,Rancho Bernardo,12667203,16835 W. Bernardo Drive Suite 209,San Diego,CA,92128,858-848-0513,Better Homes & Gardens Real Estate McMillin Realty,http://www.mcmillinrealty.com,2646877,Better Homes & Gardens Real Estate McMillin Realty,Parent company's companypublickey did not match with company table entries
Test Office 1,Test Office 1,12944550, ,Raleigh,NC,,,Triangle,,3057157,Fonville Morisey Realty a Long & Foster Company,Office name was using the word test
East Boca - Ocean Blvd. Office,East Boca - Ocean Blvd. Office,12458946,2325 N. Ocean Blvd. ,Boca Raton,FL,33431,561-136-7398,Realty Associates Florida Properties,,2955376,"Realty Associates Florida Properties, Inc.",Parent company's companypublickey did not match with company table entries
J & A Realty,J & A Realty,13062003,39767 Paseo Padre Parkway Suite E,Fremont,CA,94538,510-029-9018,J & A Realty,,3122644,J & A Realty,Parent company's companypublickey did not match with company table entries
Remax Fine Properties,Remax Fine Properties,13040289,319 Regent St #203 ,Flagstaff,AZ,86001,,RE/MAX Fine Properties,,3117910,RE/MAX Fine Properties,Parent company's companypublickey did not match with company table entries
Pocket Listing Test,Pocket Listing Test,15907524, ,Seattle,WA,98272,,Utah,,1234567,Windermere Solutions LLC,Office name was using the word test
Mortgage Services,Mortgage Services,12499413, ,Seattle,WA,,,Mortgage Services,,2980624,Mortgage Services,Parent company's companypublickey did not match with company table entries
ProdVal030216,ProdVal030216,12487569,815 Western Ave ,Seattle,WA,98104,987-765-4321,Test Region,,1509928,TEST Company,Parent company's companypublickey did not match with company table entries
Onelogin Test,Onelogin Test,13672956, ,Seattle,WA,,,Moxi Works,,1624333,MoxiWorks,"Office name was using the word test, Parent company's companypublickey did not match with company table entries"
Test Office1,Test Office1,11962485, ,Org1reg1,WA,,,Test Region,,1509928,TEST Company,"Office name was using the word test, Parent company's companypublickey did not match with company table entries"
Test Office2,Test Office2,11964459, ,Org1reg2,WA,,,Test Org1 Reg2,,1509928,TEST Company,"Office name was using the word test, Parent company's companypublickey did not match with company table entries"
Test Office,Test Office,12445128, ,Testville,WA,,,Regression_ECOMMADMIN_CRMUSER_PROVISION,,2957743,Regression_ECOMMADMIN_CRMUSER_PROVISION,"Office name was using the word test, Parent company's companypublickey did not match with company table entries"
Brick Solid Real Estate Group,Brick Solid Real Estate Group,13084704,"1301 S IH 35 Frontage Rd. Presented by: Texas Ally Real Estate, LLC",Austin,TX,78741,572-279-6504,South,http://www.bricksolidrealestate.com,3132112,Brick Solid Real Estate Group,Parent company's companypublickey did not match with company table entries
Private Label Realty,Private Label Realty,13074834, ,Austin,TX,78759,512-273-1021,Private Label Realty,,3128167,Private Label Realty,Parent company's companypublickey did not match with company table entries
Boynton Beach Office,Boynton Beach Office,12459933,4956 Le Chalet Suite #12,Boynton Beach,FL,33436,888-890-0004,Realty Associates Florida Properties,,2955376,"Realty Associates Florida Properties, Inc.",Parent company's companypublickey did not match with company table entries
ProdOffice041216,ProdOffice041216,12538893, ,Spanaway,WA,,321-165-4321,Test Org2 Reg1,,1509928,TEST Company,Parent company's companypublickey did not match with company table entries
MARKETING,MARKETING,12621801,11538 San Vicente Boulevard ,Los Angeles,CA,90049,555-555-5123,Pacific Union International,,2653189,Gibson International,Parent company's companypublickey did not match with company table entries
Prodoffice041216acctmgr,Prodoffice041216acctmgr,12539880, ,Sequim,WA,,,Test Org2 Reg1,,1509928,TEST Company,Parent company's companypublickey did not match with company table entries
Howard Hanna,Howard Hanna,14923485, ,Mayfield Heights,OH,,,Gapps Moxiworks,,2485132,Gapps Moxiworks,Parent company's companypublickey did not match with company table entries
