office_legalname,office_name,officepublickey,office_addressline1,office_city,office_state,office_zip,office_phone,region_name,office_website,companypublickey,company_legalname
Accounting,Accounting,13425219,910 Maple Road ,Williamsville,NY,14221,716-668-9929,NY - Central - 107,,1585672,Howard Hanna
Auburn,Auburn,13406466,161 Genesee St Suite 200,Auburn,NY,13021,315-525-2484,NY - Central - 107,,1585672,Howard Hanna
Camillus,Camillus,13405479,5110 W. Genesee Street ,Camillus,NY,13031,315-548-7004,NY - Central - 107,,1585672,Howard Hanna
Carthage,Carthage,13418310,17 N. Broad Street ,Carthage,NY,13619,315-549-3700,NY - Central - 107,,1585672,Howard Hanna
Cazenovia,Cazenovia,13410414,87 Albany Street ,Cazenovia,NY,13035,315-565-5102,NY - Central - 107,,1585672,Howard Hanna
Chittenango,Chittenango,13412388,601 Lakeport Road 4,Chittenango,NY,13037,315-568-7130,NY - Central - 107,,1585672,Howard Hanna
Clayton,Clayton,13409427,712 James Street ,Clayton,NY,13624,315-568-6400,NY - Central - 107,,1585672,Howard Hanna
Corporate,Corporate,13422258,5110 W. Genesee Street Suite 1,Camillus,NY,13031,315-548-7655,NY - Central - 107,,1585672,Howard Hanna
Corporate Services,Corporate Services,13424232,910 Maple Road ,Williamsville,NY,14221,716-668-9929,NY - Central - 107,,1585672,Howard Hanna
Facilities,Facilities,13428180,910 Maple Road ,Williamsville,NY,14221,716-625-0170,NY - Central - 107,,1585672,Howard Hanna
Fayetteville,Fayetteville,13417323,6866 East Genesee Street ,Fayetteville,NY,13066,315-544-6829,NY - Central - 107,,1585672,Howard Hanna
Fulton,Fulton,13411401,120 Cayuga Street E,Fulton,NY,13069,315-559-2765,NY - Central - 107,,1585672,Howard Hanna
Hanna CRE - Syracuse,Hanna CRE - Syracuse,15905550,5110 W. Genesee St. Suite 3,Camillus,NY,13031,315-523-3926,NY - Central,,1585672,Howard Hanna
HR and Receptionist,HR and Receptionist,13427193,910 Maple Road ,Williamsville,NY,14221,716-668-9929,NY - Central - 107,,1585672,Howard Hanna
Information Technology,Information Technology,13426206,5110 W. Genesee Street Suite 1,Camillus,NY,13031,315-548-7655,NY - Central - 107,,1585672,Howard Hanna
Legal,Legal,13431141,910 Maple Road ,Williamsville,NY,14221,716-668-9929,NY - Central - 107,,1585672,Howard Hanna
Liverpool,Liverpool,13407453,7840 Oswego Road ,Liverpool,NY,13090,315-562-2211,NY - Central - 107,,1585672,Howard Hanna
Manlius,Manlius,13421271,102 W. Seneca Street Suite 110,Manlius,NY,13104,315-568-2950,NY - Central - 107,,1585672,Howard Hanna
Marcellus,Marcellus,13408440,8 W. Main Street ,Marcellus,NY,13108,315-567-3204,NY - Central - 107,,1585672,Howard Hanna
Marketing,Marketing,13423245,5110 W. Genesee Street Suite 1,Camillus,NY,13031,315-548-7655,NY - Central - 107,,1585672,Howard Hanna
North Syracuse,North Syracuse,13419297,401 N. Main Street ,North Syracuse,NY,13212,315-545-8910,NY - Central - 107,,1585672,Howard Hanna
Oneida,Oneida,13413375,340 Main Street ,Oneida,NY,13421,315-536-3230,NY - Central - 107,,1585672,Howard Hanna
Priority Maintenance/Sign Installers,Priority Maintenance/Sign Installers,13433115,910 Maple Road ,Williamsville,NY,14221,716-668-9929,NY - Central - 107,,1585672,Howard Hanna
Property Management,Property Management,13434102,910 Maple Road ,Williamsville,NY,14221,716-668-9929,NY - Central - 107,,1585672,Howard Hanna
Purchasing,Purchasing,13432128,910 Maple Road ,Williamsville,NY,14221,716-668-9929,NY - Central - 107,,1585672,Howard Hanna
Quality Enhancement,Quality Enhancement,13430154,910 Maple Road ,Williamsville,NY,14221,716-668-9929,NY - Central - 107,,1585672,Howard Hanna
Relocation,Relocation,13429167,5104 W. Genesee Street ,Syracuse,NY,13209,315-548-7655,NY - Central - 107,,1585672,Howard Hanna
San Antonio  TX,San Antonio  TX,15597606,105 Galleria Fair ,San Antonio,TX,78232,210-072-9577,ROGA-TX,www.rogemerald.com,1732426,Realty ONE Group
San Jose-Almaden,San Jose-Almaden,11720670,1096 Blossom Hill Rd Unit 200 ,San Jose,CA,95123-1103,408-844-8448,Silicon Valley-Monterey Bay-Silicon Valley Region,,3145525,Coldwell Banker Residential Brokerage NRT
Skaneateles/Fingerlakes,Skaneateles/Fingerlakes,13420284,28 E. Genesee Street ,Skaneateles,NY,13152,315-568-5011,NY - Central - 107,,1585672,Howard Hanna
Utica/New Hartford,Utica/New Hartford,13414362,141 Genesee Street ,New Hartford,NY,13413,315-573-5851,NY - Central - 107,,1585672,Howard Hanna
Watertown,Watertown,13415349,642 Coffeen Street ,Watertown,NY,13601,315-578-8576,NY - Central - 107,,1585672,Howard Hanna
